,Model,Intersection,Ranked Results
54,jondurbin/airoboros-13b-gpt4-1.4,"[0.66666667 1.         1.         0.5        0.33333333 0.
 0.33333333 0.33333333 0.5       ]","['jondurbin/airoboros-7b-gpt4-1.4.1-qlora', 'jondurbin/airoboros-65b-gpt4-1.4', 'jondurbin/airoboros-33b-gpt4-1.4', 'osr-project/osr1-10', 'Tarklanse/Llama2-7B_Traditional_Chinese_roleplay_chat_lora', 'L-R/LLmRa-355M', 'pszemraj/opt-peter-2.7B', 'bofenghuang/vigogne-2-7b-chat', 'nkpz/llama2-22b-empath-alpacagpt4']"
55,codellama/CodeLlama-7b-Instruct-hf,"[1.         1.         1.         1.         1.         0.66666667
 0.66666667 0.66666667 0.66666667]","['codellama/CodeLlama-34b-Instruct-hf', 'codellama/CodeLlama-13b-Python-hf', 'codellama/CodeLlama-34b-Python-hf', 'codellama/CodeLlama-34b-hf', 'codellama/CodeLlama-7b-hf', 'TabbyML/CodeLlama-13B', 'TabbyML/CodeLlama-7B', 'vodkaslime/codellama-7b-hf', 'piratos/ct2fast-codellama-13b-instruct-hf']"
56,BridgeTower/bridgetower-base,[1. 1. 1. 0. 0. 0. 0. 0. 0.],"['BridgeTower/bridgetower-base', 'BridgeTower/bridgetower-base-itm-mlm', 'BridgeTower/bridgetower-large-itm-mlm-gaudi', 'PVIT/pvit', 'facebook/flava-full', 'Salesforce/blip-itm-base-coco', 'Salesforce/blip-itm-base-flickr', 'Salesforce/blip-vqa-base', 'ybelkada/blip-image-captioning-base-football-finetuned']"
57,Salesforce/codegen-16B-multi,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-multi', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl']"
58,stablediffusionapi/disney-pixal-cartoon,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['stablediffusionapi/disney-pixar-cartoon', 'stablediffusionapi/samaritan-3d-cartoon', 'stablediffusionapi/real-cartoon-realist', 'stablediffusionapi/drood-disney-pixar', 'stablediffusionapi/rev-animated', 'stablediffusionapi/animepunk', 'stablediffusionapi/meina-hentai', 'stablediffusionapi/simpsons', 'stablediffusionapi/animatrix']"
59,kontur-ai/sbert_punc_case_ru,[0.5 0.  0.  0.  0.  0.  0.  0.  0. ],"['inkoziev/rugpt_chitchat', 'remshu-inc/mencoder', 'SiberiaSoft/SiberianFRED-T5-XL', 'SiberiaSoft/SiberianPersonaFred', 'Bananaws/Python_Task6', 'remshu-inc/mmark', 'CleverShovel/rubert-tiny2-tnved-v4', 'Pogonyalov47/Python_Task_3_Variant', 'YukiNon/khokhlov_alexander_practice']"
60,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'pain/CalliarGen-v2', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
61,Salesforce/codet5p-220m,[1.  1.  1.  1.  1.  1.  1.  0.5 1. ],"['Salesforce/codet5p-2b', 'Salesforce/codet5p-6b', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-110m-embedding']"
62,TheBloke/gpt4-alpaca-lora_mlp-65B-GPTQ,"[0.5        0.5        0.         0.5        0.33333333 0.
 0.         0.5        0.        ]","['TheBloke/dromedary-65B-lora-GPTQ', 'TheBloke/alpaca-lora-65B-GPTQ', 'philschmid/falcon-40b-instruct-GPTQ-inference-endpoints', 'TheBloke/WizardCoder-15B-1.0-GPTQ', 'TheBloke/starcoderplus-GPTQ', 'AlpachinoNLP/Baichuan-7B-Instruction', 'jphme/vicuna-13b-v1.3-ger-GGML', 'TheBloke/wizardLM-13B-1.0-GPTQ', 'michaelfeil/ct2fast-RedPajama-INCITE-Chat-7B-v0.1']"
63,mosaicml/mpt-7b-8k-chat,"[0.95238095 1.         0.33333333 0.33333333 0.95238095 0.95
 0.         0.5        0.4       ]","['Trelis/mpt-7b-8k-chat-sharded-bf16', 'mosaicml/mpt-30b-chat', 'dfurman/falcon-40b-openassistant-peft', 'dfurman/falcon-7b-openassistant-peft', 'michaelfeil/ct2fast-mpt-30b-chat', 'someone13574/mpt-30b-chat-ggjt', 'TheBloke/starchat-beta-GGML', 'mosaicml/mpt-7b-chat', 'Birchlabs/mosaicml-mpt-7b-chat-qlora']"
64,distilbert-base-uncased-distilled-squad,[1. 0. 0. 0. 0. 1. 0. 0. 0.],"['distilbert-base-cased-distilled-squad', 'osiria/blaze-it', 'google/multiberts-seed_0-step_40k', 'distilbert-base-multilingual-cased', 'boleshirish/Marathi_DistilBert_Pretrained', 'itsatarax/comprehenso', 'google/multiberts-seed_0', 'google/multiberts-seed_20', 'casehold/bert-double']"
65,j-hartmann/emotion-english-distilroberta-base,"[0.5        0.2        0.5        0.5        0.5        0.42857143
 0.5        0.33333333 0.2       ]","['ahmettasdemir/distilbert-base-uncased-finetuned-emotion', 'SchuylerH/bert-multilingual-go-emtions', 'neel-jotaniya/emotion-advance-classifier', 'BiaDd/emotion-model', 'yting27/pba1-emotion-classification', 'vamossyd/emtract-distilbert-base-uncased-emotion', 'laxsvips/minilm-finetuned-emotion', 'patrickramos/bert-base-japanese-v2-wrime-fine-tune', 'KBLab/emotional-classification']"
66,moussaKam/barthez,"[0.33333333 0.25       0.         0.         0.25       0.
 0.         0.         0.        ]","['ML-unipi/bart-large-tos', 'eugenesiow/bart-paraphrase', 'danjohnvelasco/roberta-tagalog-base-cohfie-v1', 'Narrativa/NarbioBART', 'cointegrated/rubert-tiny2', 'flax-community/bigband', 'OWG/bigbird-roberta-base', 'setu4993/LaBSE', 'facebook/bart-large']"
67,facebook/mask2former-swin-base-coco-panoptic,[0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8],"['facebook/mask2former-swin-large-ade-panoptic', 'facebook/mask2former-swin-large-mapillary-vistas-panoptic', 'facebook/mask2former-swin-large-ade-semantic', 'facebook/mask2former-swin-base-IN21k-ade-semantic', 'facebook/mask2former-swin-tiny-coco-instance', 'facebook/mask2former-swin-base-IN21k-coco-instance', 'facebook/mask2former-swin-large-cityscapes-semantic', 'facebook/mask2former-swin-large-cityscapes-panoptic', 'facebook/mask2former-swin-base-IN21k-cityscapes-semantic']"
68,bionlp/bluebert_pubmed_uncased_L-12_H-768_A-12,"[0.         0.         0.         0.66666667 0.         0.
 0.         0.         0.33333333]","['Tsubasaz/clinical-pubmed-bert-base-128', 'Tsubasaz/clinical-pubmed-bert-base-512', 'bioformers/bioformer-16L', 'bionlp/bluebert_pubmed_mimic_uncased_L-12_H-768_A-12', 'bioformers/bioformer-8L', 'seiya/oubiobert-base-uncased', 'beatrice-portelli/DiLBERT', 'jannikskytt/MeDa-Bert', 'razent/SciFive-large-Pubmed_PMC-MedNLI']"
69,timm/maxvit_tiny_tf_512.in1k,[0.6 0.6 0.4 0.4 0.6 0.6 0.6 0.6 0.6],"['timm/maxvit_tiny_tf_224.in1k', 'timm/maxvit_base_tf_384.in1k', 'timm/maxvit_base_tf_224.in21k', 'timm/maxvit_xlarge_tf_224.in21k', 'timm/maxvit_tiny_rw_224.sw_in1k', 'timm/maxvit_nano_rw_256.sw_in1k', 'timm/maxxvitv2_nano_rw_256.sw_in1k', 'timm/coatnext_nano_rw_224.sw_in1k', 'timm/maxvit_large_tf_512.in21k_ft_in1k']"
70,mosaicml/mpt-30b-instruct,"[0.92857143 0.92307692 0.92857143 0.25       0.25       0.2
 0.2        0.2        0.2       ]","['Abzu/mpt-30b-instruct-q8', 'blackmount8/mpt-30b-instruct-ct2-int8_float16', 'eluzhnica/mpt-30b-instruct-peft-compatible', 'bigcode/starcoderbase-megatron', 'bigcode/starcoder-megatron', 'bigcode/starcoderplus-megatron', 'allenai/tulu-7b', 'allenai/tulu-65b', 'allenai/tulu-30b']"
71,HyperbeeAI/Tulpar-7b-v0,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['stabilityai/StableBeluga-7B', 'stabilityai/StableBeluga2', 'stabilityai/StableBeluga-13B', 'SaguaroCapital/falcon-40b-wizardlm-lora', 's3nh/StableBeluga-7B-GPTQ', 'pankajmathur/orca_mini_v3_70b', 'keyfan/bloomz-rlhf', 'garage-bAInd/Camel-Platypus2-13B', 'pankajmathur/orca_mini_3b']"
72,malteos/scincl,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0. ],"['allenai/aspire-biencoder-biomed-scib', 'allenai/aspire-biencoder-biomed-spec', 'allenai/aspire-biencoder-compsci-spec', 'allenai/aspire-contextualsentence-singlem-biomed', 'allenai/aspire-contextualsentence-singlem-compsci', 'allenai/aspire-contextualsentence-multim-biomed', 'allenai/aspire-contextualsentence-multim-compsci', 'adit-negi/recommendor-bert', 'seiya/oubiobert-base-uncased']"
73,Jorgeutd/bert-large-uncased-finetuned-ner,"[1.         0.33333333 0.33333333 0.25       0.25       0.25
 0.         0.25       0.33333333]","['Jorgeutd/albert-base-v2-finetuned-ner', 'thusken/nb-bert-large-user-needs', 'DunnBC22/led-base-16384-text_summarization_data', 'nikhedward/bart-large-cnn-finetuned-multi-news', 'postbot/bert_uncased_tiny-multi-emails-hq', 'kauffinger/scibert_scivocab_uncased-mnli', 'chcaa/dfm-encoder-large-v1', 'postbot/bert_uncased_tiny_2xthicc-multi-emails-hq', 'DunnBC22/flan-t5-base-text_summarization_data']"
74,Yntec/RadiantCinemagic,"[0.88888889 0.36363636 0.4        0.33333333 0.42857143 0.5
 0.5        0.16666667 0.4       ]","['Yntec/RadiantVibes', 'Yntec/OpenGenDiffusers', 'Yntec/humu', 'plasmo/food-crit', 'GISY/finetuned_controlnet_realisticvision5.1', 'Yntec/HassanBlend12', 'Yntec/HassanBlend1512VAE', 'iZELX1/Grapefruit', 'Yntec/MangledMerge3_768']"
75,Salesforce/codet5p-2b,[1.  1.  1.  1.  1.  1.  1.  0.5 1. ],"['Salesforce/codet5p-6b', 'Salesforce/codet5p-220m', 'Salesforce/codet5p-16b', 'Salesforce/codet5p-770m-py', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-110m-embedding']"
76,Sygil/Sygil-Diffusion,"[0.25       0.         0.4        0.25       0.25       0.5
 0.33333333 0.         0.33333333]","['Duskfallcrew/duskfalltest', 'Phantom-Artist/phantom-diffusion-s3-the-last-8', 'Nerfgun3/NewArtModel4', 'cadaeic/v2_dreamink', 'FredZhang7/paint-journey-v2', 'lodestones/P.A.W.F.E.C.T-Alpha', 'JosephusCheung/ACertainModel', 'Falah/stable_diffusion_prompts_gen', 'Linaqruf/hitokomoru-diffusion']"
77,timm/tf_efficientnet_b1.ns_jft_in1k,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.5],"['timm/tf_efficientnet_b0.ns_jft_in1k', 'timm/tf_efficientnet_b3.ns_jft_in1k', 'timm/tf_efficientnet_b4.ns_jft_in1k', 'timm/tf_efficientnet_b7.ns_jft_in1k', 'timm/tf_efficientnet_b2.ns_jft_in1k', 'timm/tf_efficientnet_b5.ns_jft_in1k', 'timm/tf_efficientnet_b6.ns_jft_in1k', 'timm/tf_efficientnet_l2.ns_jft_in1k', 'timm/resnet18.fb_ssl_yfcc100m_ft_in1k']"
78,philschmid/pyannote-speaker-diarization-endpoint,"[0.89473684 0.89473684 0.89473684 0.89473684 0.         0.10526316
 0.28571429 0.         0.15384615]","['anilbs/pipeline', 'paris-iea/speaker-diarization', 'KIFF/pyannote-speaker-diarization-endpoint', 'pyannote/speaker-diarization', 'speechbrain/slu-direct-fluent-speech-commands-librispeech-asr', 'nvidia/stt_en_citrinet_1024_gamma_0_25', 'transiteration/stt_kz_quartznet15x5', 'speechbrain/asr-crdnn-switchboard', 'nvidia/stt_uk_citrinet_1024_gamma_0_25']"
79,google/owlvit-base-patch16,[0.75 0.75 0.5  0.5  0.5  0.5  0.5  0.25 0.25],"['google/owlvit-base-patch32', 'google/owlvit-large-patch14', 'hustvl/yolos-tiny', 'hustvl/yolos-small-dwr', 'microsoft/conditional-detr-resnet-50', 'zoheb/yolos-small-balloon', 'hustvl/yolos-small-300', 'facebook/detr-resnet-50-panoptic', 'facebook/detr-resnet-101-panoptic']"
80,anas-awadalla/mpt-1b-redpajama-200b,"[0.66666667 0.66666667 0.66666667 0.33333333 0.66666667 0.33333333
 0.66666667 0.33333333 0.        ]","['mosaicml/mpt-1b-redpajama-200b-dolly', 'seantyh/mpt-1b-rp200b-dolly', 'lukasmoeller/mpt-7b-sail-ep1', 'jordiclive/falcon-40b-lora-sft-stage2-1.1k', 'eluzhnica/mpt-7b-8k-peft-compatible', 'rtlabs/StableCode-3B', 'michaelfeil/ct2fast-mpt-7b', 'petals-team/StableBeluga2', 'nvidia/nemo-megatron-gpt-20B']"
81,UFNLP/gatortron-base,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['UFNLP/gatortronS', 'shainaraza/clinical-bias-ner', 'almanach/camembert-bio-base', 'GerMedBERT/medbert-512', 'nlpie/clinical-distilbert-i2b2-2010', 'nlpie/clinical-mobilebert-i2b2-2010', 'fmmolina/bert-base-spanish-wwm-uncased-finetuned-NER-medical', 'starmpcc/Asclepius-7B', 'starmpcc/Asclepius-13B']"
82,allenai/scibert_scivocab_uncased,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['izumi-lab/bert-small-japanese', 'cl-tohoku/bert-base-japanese', 'cl-tohoku/bert-base-japanese-v3', 'lordtt13/COVID-SciBERT', 'izumi-lab/bert-small-japanese-fin', 'cl-tohoku/bert-base-japanese-char', 'dumitrescustefan/bert-base-romanian-cased-v1', 'asafaya/bert-base-arabic', 'asafaya/bert-mini-arabic']"
83,jackaduma/SecBERT,"[1.         0.5        0.33333333 0.5        0.         0.
 0.5        0.         0.33333333]","['jackaduma/SecRoBERTa', 'ehsanaghaei/SecureBERT_Plus', 'izumi-lab/bert-small-japanese-fin', 'antoinelouis/netbert', 'HooshvareLab/bert-base-parsbert-ner-uncased', 'HooshvareLab/bert-base-parsbert-peymaner-uncased', 'ehsanaghaei/SecureBERT', 'qarib/bert-base-qarib_far_9920k', 'izumi-lab/electra-small-paper-japanese-fin-generator']"
84,stabilityai/japanese-stablelm-instruct-alpha-7b,[0.5 0.  0.  0.  0.  0.  0.  0.  0.5],"['stabilityai/japanese-instructblip-alpha', 'jglaser/affinity_pred_regex_4', 'abdelk/JMproject', 'StanfordAIMI/stanford-deidentifier-only-i2b2', 'Davlan/afro-xlmr-base', 'rozzman/mobileNetV3FromTimm', 'StanfordAIMI/stanford-deidentifier-base', 'merve/eli5-dummy', 'vita-group/vicuna-7b-v1.3_gptq']"
85,Salesforce/codet5-base,[0.5 1.  1.  1.  1.  1.  1.  1.  1. ],"['gangqinxiao13/fine-tuned-codet5', 'Salesforce/codet5-large-ntp-py', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-2b', 'Salesforce/codet5p-6b', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b']"
86,cointegrated/rubert-tiny,"[0.         0.2        0.25       0.28571429 0.5        0.33333333
 0.1        0.         0.33333333]","['michaelfeil/ct2fast-LaBSE', 'HooshvareLab/bert-fa-base-uncased', 'm3hrdadfi/albert-fa-base-v2', 'jamescalam/mpnet-snli', 'distilbert-base-multilingual-cased', 'vocab-transformers/dense_encoder-msmarco-bert-base-word2vec256k_emb_updated', 'T-Systems-onsite/cross-en-de-roberta-sentence-transformer', 'qarib/bert-base-qarib_far_9920k', 'pkshatech/simcse-ja-bert-base-clcmlp']"
87,siebert/sentiment-roberta-large-english,"[0.25       0.         0.16666667 0.5        0.33333333 0.
 0.16666667 0.33333333 0.        ]","['selimsametoglu/selims', 'Orkhan/llama-2-7b-absa', 'fhamborg/roberta-targeted-sentiment-classification-newsarticles', 'dpkrm/NepaliSentimentAnalysis', 'cardiffnlp/twitter-roberta-base-sentiment', 'kevinscaria/atsc_tk-instruct-base-def-pos-neg-neut-combined', 'IDEA-CCNL/Erlangshen-Roberta-330M-Sentiment', 'LiYuan/amazon-review-sentiment-analysis', 'kevinscaria/joint_tk-instruct-base-def-pos-neg-neut-combined']"
88,EleutherAI/pythia-12b,"[0.83333333 1.         0.66666667 0.66666667 0.83333333 0.25
 0.         0.25       0.        ]","['EleutherAI/pythia-70m-deduped', 'EleutherAI/pythia-6.9b', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'exa1128/pythia-1000step', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'uwnlp/llama-2-70b-qlora-openorca', 'Technotech/opt-125m-4bit-128g', 'wuxianchao/lazylora-70bhf']"
89,microsoft/xtremedistil-l6-h256-uncased,"[0.66666667 0.66666667 0.         0.         0.         0.66666667
 0.         0.         0.33333333]","['microsoft/xtremedistil-l6-h384-uncased', 'microsoft/xtremedistil-l12-h384-uncased', 'google/switch-base-8', 'google/switch-c-2048', 'crumb/ptune-FLAN-OPT-6.7b', 'microsoft/deberta-v2-xxlarge-mnli', 'Recognai/selectra_medium', 'bonadossou/multitask_model_fon_False_multiplicative', 'microsoft/deberta-v2-xxlarge']"
90,KRAFTON/KORani-v3-13B,"[0.8        0.         0.25       0.33333333 0.5        0.5
 0.         0.16666667 0.        ]","['KRAFTON/KORani-v1-13B', 'haonan-li/bactrian-hi-llama-7b-lora', 'Technotech/opt-125m-4bit-128g', 'pankajmathur/orca_mini_v2_13b', 'MBZUAI/bactrian-x-llama-13b-merged', 'matsuo-lab/weblab-10b-instruction-sft', 'hmteams/flair-icdar-fr', 'uukuguy/speechless-hermes-coig-lite-13b', 'Navvye/whisper-large-v2-kangri']"
91,EleutherAI/polyglot-ko-5.8b,"[1.         1.         1.         0.33333333 0.75       0.75
 0.         0.5        1.        ]","['EleutherAI/polyglot-ko-3.8b', 'EleutherAI/polyglot-ko-1.3b', 'EleutherAI/polyglot-ko-12.8b', 'skt/ko-gpt-trinity-1.2B-v0.5', 'lighteternal/gpt2-finetuned-greek', 'GeoV/GeoV-9b-r2', 'LennartKeller/longformer-gottbert-base-8192-aw512', 'CofeAI/FLM-101B', 'EleutherAI/gpt-neo-2.7B']"
92,tiiuae/falcon-40b-instruct,"[1.         0.5        1.         1.         1.         0.66666667
 0.66666667 0.66666667 0.66666667]","['tiiuae/falcon-7b-instruct', 'blackmount8/falcon-7b-instruct-ct2-int8_float16', 'tiiuae/falcon-40b', 'tiiuae/falcon-180B', 'tiiuae/falcon-7b', 'TitanML/ct2-int8-falcon-7b', 'SaguaroCapital/falcon-40b-wizardlm-lora', 'hlarcher/falcon-7b-v100s', 'ichitaka/falcon-40b-instruct-8bit']"
93,lllyasviel/control_v11e_sd15_ip2p,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.85714286 0.75      ]","['lllyasviel/control_v11p_sd15_lineart', 'lllyasviel/control_v11e_sd15_shuffle', 'lllyasviel/control_v11p_sd15_scribble', 'lllyasviel/control_v11p_sd15s2_lineart_anime', 'lllyasviel/control_v11p_sd15_seg', 'lllyasviel/control_v11p_sd15_inpaint', 'OrderAndChaos/controlnet-inpaint-endpoint', 'lllyasviel/control_v11p_sd15_normalbae', 'ControlNet-1-1-preview/control_v11p_sd15_lineart']"
94,Hate-speech-CNERG/bert-base-uncased-hatexplain,"[0.33333333 0.33333333 0.33333333 0.33333333 1.         0.33333333
 0.33333333 0.         0.33333333]","['MilaNLProc/hate-ita', 'MilaNLProc/hate-ita-xlm-r-large', 'l3cube-pune/mahahate-bert', 'amengemeda/amharic-hate-speech-detection-mBERT', 'Hate-speech-CNERG/dehatebert-mono-english', 'l3cube-pune/me-hate-bert', 'l3cube-pune/mahahate-multi-roberta', 'Narrativa/byt5-base-tweet-hate-detection', 'l3cube-pune/me-hate-roberta']"
95,d4data/bias-detection-model,"[0.         0.         0.         0.         0.33333333 0.
 0.         0.         0.33333333]","['yhavinga/t5-v1.1-base-dutch-cased', 'alex2awesome/quote-type-sentence-model', 'yhavinga/t5-v1.1-base-dutch-uncased', 'yhavinga/t5-v1_1-base-dutch-english-cased', 'w11wo/indonesian-roberta-base-indonli', 'yhavinga/t5-small-24L-dutch-english', 'yhavinga/t5-base-36L-dutch-english-cased', 'yhavinga/t5-eff-large-8l-dutch-english-cased', 'mrm8488/deberta-v3-small-finetuned-mnli']"
96,intfloat/multilingual-e5-large,"[0.8        0.83333333 0.5        0.33333333 0.33333333 0.5
 0.33333333 0.         0.33333333]","['intfloat/e5-large-unsupervised', 'intfloat/e5-small', 'jinaai/jina-embedding-s-en-v1', 'jinaai/jina-embedding-t-en-v1', 'ipipan/silver-retriever-base-v1', 'jinaai/jina-embedding-l-en-v1', 'gruber/e5-small-v2-ggml', 'neuropark/sahajBERT', 'sentence-transformers/msmarco-bert-co-condensor']"
97,cerebras/Cerebras-GPT-256M,[1.  1.  1.  1.  1.  1.  0.  0.8 0. ],"['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'bjoernp/alpaca-cerebras-6.7B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'TMElyralab/lyraBaichuan']"
98,climatebert/distilroberta-base-climate-sentiment,"[0.33333333 0.66666667 0.66666667 0.5        0.33333333 0.
 0.33333333 0.         0.5       ]","['HasinMDG/XT-Sentiment-XLM-Roberta-Large', 'climatebert/distilroberta-base-climate-specificity', 'climatebert/distilroberta-base-climate-tcfd', 'karolill/nb-bert-finetuned-on-norec', 'Narsil/finbert2', 'RecordedFuture/Swedish-Sentiment-Fear-Targets', 'AhmedBou/TuniBert', 'amphora/FinABSA', 'KBLab/robust-swedish-sentiment-multiclass']"
99,deepset/electra-base-squad2,[1. 1. 1. 1. 1. 1. 1. 1. 0.],"['deepset/minilm-uncased-squad2', 'deepset/xlm-roberta-large-squad2', 'deepset/bert-medium-squad2-distilled', 'deepset/bert-base-uncased-squad2', 'deepset/roberta-base-squad2-covid', 'deepset/roberta-base-squad2-distilled', 'deepset/tinyroberta-6l-768d', 'deepset/tinybert-6l-768d-squad2', 'pierreguillou/t5-base-qa-squad-v1.1-portuguese']"
