,Model,Intersection,Ranked Results
53,mrm8488/t5-base-finetuned-summarize-news,"[0.5        0.66666667 0.66666667 0.         0.         0.
 0.33333333 0.5        0.66666667]","['lordtt13/t5-inshorts', 'mrm8488/t5-small-finetuned-squadv2', 'mrm8488/t5-small-finetuned-squadv1', 'seduerr/t5-small-pytorch', 'birgermoell/t5-base-swedish', 'tftransformers/t5-base', 'google/t5-v1_1-base', 'etomoscow/T5_paraphrase_detector', 'mrm8488/t5-base-finetuned-wikiSQL-sql-to-en']"
54,jondurbin/airoboros-13b-gpt4-1.4,"[1.         1.         0.66666667 0.33333333 0.33333333 0.66666667
 0.33333333 0.66666667 0.33333333]","['jondurbin/airoboros-33b-gpt4-1.4', 'jondurbin/airoboros-65b-gpt4-1.4', 'jondurbin/airoboros-7b-gpt4-1.4.1-qlora', 'ycros/airoboros-65b-gpt4-1.4.1-PI-8192-4bit-32g-actorder', 'heegyu/WizardVicuna2-13b-hf', 'jondurbin/airoboros-13b-gpt4', 'heegyu/LIMA2-13b-hf', 'jondurbin/airoboros-33b-gpt4', 'AnimusOG/pygmalion-7b-4bit-128g-cuda-2048Token']"
55,codellama/CodeLlama-7b-Instruct-hf,"[1.         0.66666667 1.         0.66666667 0.66666667 0.66666667
 1.         1.         1.        ]","['codellama/CodeLlama-7b-hf', 'TabbyML/CodeLlama-7B', 'codellama/CodeLlama-34b-Instruct-hf', 'vodkaslime/codellama-7b-hf', 'TabbyML/CodeLlama-13B', 'piratos/ct2fast-codellama-13b-instruct-hf', 'codellama/CodeLlama-13b-Python-hf', 'codellama/CodeLlama-34b-Python-hf', 'codellama/CodeLlama-34b-hf']"
56,BridgeTower/bridgetower-base,[1. 1. 1. 0. 0. 0. 0. 0. 0.],"['BridgeTower/bridgetower-base', 'BridgeTower/bridgetower-base-itm-mlm', 'BridgeTower/bridgetower-large-itm-mlm-gaudi', 'PaddlePaddle/unimo-text-1.0-summary', 'google/pix2struct-docvqa-base', 'google/pix2struct-widget-captioning-base', 'Graphcore/lxmert-gqa-uncased', 'google/pix2struct-textcaps-base', 'facebook/xmod-base']"
57,Salesforce/codegen-16B-multi,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-2B-multi', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-16B-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-350M-nl', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-2B-mono']"
58,stablediffusionapi/disney-pixal-cartoon,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['stablediffusionapi/disney-pixar-cartoon', 'stablediffusionapi/drood-disney-pixar', 'stablediffusionapi/disneypixar', 'stablediffusionapi/real-cartoon-realist', 'stablediffusionapi/cuteyukimixadorable', 'stablediffusionapi/samaritan-3d-cartoon', 'stablediffusionapi/darksushimixv225', 'stablediffusionapi/meichidarkmix111', 'stablediffusionapi/xxmix9realistic111']"
59,kontur-ai/sbert_punc_case_ru,[0.5 0.  0.  0.  0.  0.  0.  0.  0. ],"['inkoziev/rugpt_chitchat', 'remshu-inc/mmark', 'inkoziev/charllama-35M', 'SiberiaSoft/SiberianPersonaFred', 'inkoziev/paraphraser', 'CleverShovel/rubert-tiny2-tnved-v4', 'JustBlood/Python_Final_Task_Porozov', 'Innokentiy/FlowerNet', 'SiberiaSoft/SiberianFRED-T5-XL']"
60,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'jutaporn37678/stable-diffusion-v1-0', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
61,Salesforce/codet5p-220m,[1.  1.  1.  1.  1.  1.  1.  1.  0.5],"['Salesforce/codet5p-770m-py', 'Salesforce/codet5p-2b', 'Salesforce/codet5p-6b', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-16b', 'Salesforce/codet5p-770m', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-110m-embedding', 'Salesforce/codet5p-220m-bimodal']"
62,TheBloke/gpt4-alpaca-lora_mlp-65B-GPTQ,"[0.5        0.33333333 0.33333333 0.33333333 0.5        0.5
 0.5        0.33333333 0.5       ]","['TheBloke/dromedary-65B-lora-GPTQ', 'TheBloke/wizard-mega-13B-GPTQ', 'TheBloke/open-llama-13b-open-instruct-GPTQ', 'TheBloke/minotaur-13B-GPTQ', 'TheBloke/h2ogpt-research-oasst1-llama-65B-GPTQ', 'TheBloke/samantha-13B-GPTQ', 'TheBloke/samantha-1.1-llama-13B-GPTQ', 'TheBloke/GPT4All-13B-snoozy-GPTQ', 'TheBloke/Samantha-7B-GPTQ']"
63,mosaicml/mpt-7b-8k-chat,"[0.95238095 1.         0.5        0.4        0.33333333 0.25
 0.5        0.95238095 0.35714286]","['Trelis/mpt-7b-8k-chat-sharded-bf16', 'mosaicml/mpt-30b-chat', 'mosaicml/mpt-7b-chat', 'Birchlabs/mosaicml-mpt-7b-chat-qlora', 'someone13574/mpt-7b-chat-ggjt', 'michaelfeil/ct2fast-mpt-7b-chat', 'abhinavkulkarni/mosaicml-mpt-7b-chat-w4-g128-awq', 'michaelfeil/ct2fast-mpt-30b-chat', 'mosaicml/mpt-7b-8k-instruct']"
64,distilbert-base-uncased-distilled-squad,[1.  0.  0.5 0.  1.  0.  0.  0.  0. ],"['distilbert-base-cased-distilled-squad', 'nanopass/distilbert-base-uncased-emotion-2', 'IProject-10/distilbert-base-uncased-finetuned-squad2', 'ahmednasser/DistilBert-FakeNews', 'itsatarax/comprehenso', 'Giyaseddin/distilbert-base-uncased-finetuned-short-answer-assessment', 'SaiKrishna-KK/HuggingFace-DFLLM', 'onnxport/distilbert-base-uncased-onnx', 'distilbert-base-multilingual-cased']"
65,j-hartmann/emotion-english-distilroberta-base,"[0.85714286 0.5        0.33333333 0.5        0.25       0.33333333
 0.14285714 0.5        0.5       ]","['j-hartmann/emotion-english-roberta-large', 'ahmettasdemir/distilbert-base-uncased-finetuned-emotion', 'w11wo/sundanese-roberta-base-emotion-classifier', 'neel-jotaniya/emotion-advance-classifier', 'w11wo/indonesian-roberta-base-prdect-id', 'daveni/twitter-xlm-roberta-emotion-es', 'bsingh/roberta_goEmotion', 'yting27/pba1-emotion-classification', 'LEIA/LEIA-base']"
66,moussaKam/barthez,"[0.         0.         0.         0.25       0.33333333 0.33333333
 0.33333333 0.         0.25      ]","['facebook/bart-large', 'patrickvonplaten/bart-large-fp32', 'tftransformers/bart-base', 'facebook/bart-large-cnn', 'ML-unipi/bart-large-tos', 'qwant/fralbert-base', 'byeongal/bart-base', 'Anvil-ML/detecteur-ia', 'Gabriel/bart-base-cnn-swe']"
67,facebook/mask2former-swin-base-coco-panoptic,[0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8],"['facebook/mask2former-swin-tiny-coco-instance', 'facebook/mask2former-swin-base-IN21k-coco-instance', 'facebook/mask2former-swin-large-ade-panoptic', 'facebook/mask2former-swin-large-ade-semantic', 'facebook/mask2former-swin-large-cityscapes-panoptic', 'facebook/mask2former-swin-base-IN21k-ade-semantic', 'facebook/mask2former-swin-large-mapillary-vistas-panoptic', 'facebook/mask2former-swin-large-cityscapes-semantic', 'facebook/maskformer-swin-base-coco']"
68,bionlp/bluebert_pubmed_uncased_L-12_H-768_A-12,"[0.66666667 0.         0.         0.         0.33333333 0.
 0.         0.         0.        ]","['bionlp/bluebert_pubmed_mimic_uncased_L-12_H-768_A-12', 'malteos/PubMedNCL', 'microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext', 'Tsubasaz/clinical-pubmed-bert-base-128', 'michiyasunaga/BioLinkBERT-base', 'allenai/scibert_scivocab_uncased', 'aajrami/bert-ascii-medium', 'kiddothe2b/biomedical-longformer-large', 'jannikskytt/MeDa-Bert']"
69,timm/maxvit_tiny_tf_512.in1k,[0.6 0.6 0.4 0.4 0.6 0.6 0.6 0.6 0.4],"['timm/maxvit_tiny_tf_224.in1k', 'timm/maxvit_base_tf_384.in1k', 'timm/maxvit_base_tf_224.in21k', 'timm/maxvit_xlarge_tf_224.in21k', 'timm/maxvit_large_tf_512.in21k_ft_in1k', 'timm/maxvit_large_tf_384.in21k_ft_in1k', 'timm/maxvit_xlarge_tf_512.in21k_ft_in1k', 'timm/maxvit_xlarge_tf_384.in21k_ft_in1k', 'timm/coatnet_3_rw_224.sw_in12k']"
70,mosaicml/mpt-30b-instruct,"[0.92857143 0.92307692 0.92857143 0.66666667 0.21428571 1.
 0.92857143 0.35714286 0.92857143]","['Abzu/mpt-30b-instruct-q8', 'blackmount8/mpt-30b-instruct-ct2-int8_float16', 'eluzhnica/mpt-30b-instruct-peft-compatible', 'VMware/open-llama-0.3T-7B-instruct-dolly-hhrlhf', 'TheBloke/mpt-30B-chat-GGML', 'mosaicml/mpt-7b-8k-instruct', 'michaelfeil/ct2fast-mpt-30b-instruct', 'mosaicml/mpt-30b-chat', 'eluzhnica/mpt-7b-8k-instruct-peft-compatible']"
71,HyperbeeAI/Tulpar-7b-v0,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['zarakiquemparte/tulpar-limarp-l2-7b', 'TheBloke/Tulpar-7B-v0-GPTQ', 'Vezora/Narwhal-7b', 'gpt4life/alpagasus-7b', 'TheBloke/koala-7B-HF', 'emre/llama-2-13b-mini', 'TheBloke/koala-7b-ggml-unquantized', 'chaoyi-wu/PMC_LLAMA_7B_10_epoch', 'TheBloke/Koala-13B-SuperHOT-8K-GPTQ']"
72,malteos/scincl,"[0.66666667 0.66666667 0.5        0.         0.5        0.5
 0.         0.         0.5       ]","['malteos/PubMedNCL', 'allenai/specter', 'allenai/aspire-biencoder-biomed-scib', 'allenai/scibert_scivocab_uncased', 'allenai/aspire-contextualsentence-singlem-compsci', 'allenai/aspire-contextualsentence-singlem-biomed', 'globuslabs/ScholarBERT_100_WB', 'globuslabs/ScholarBERT_10_WB', 'allenai/aspire-contextualsentence-multim-compsci']"
73,Jorgeutd/bert-large-uncased-finetuned-ner,"[1.         0.75       0.66666667 0.75       0.5        0.33333333
 0.33333333 0.5        0.25      ]","['Jorgeutd/albert-base-v2-finetuned-ner', 'Hatman/bert-finetuned-ner', 'Lukas97/xlm-robert-large-finetuned-ner', 'n6ai/bert-base-uncased-en-ner', 'DunnBC22/bert-large-uncased-Fake_Reviews_Classifier', 'DunnBC22/bert-base-uncased-News_About_Gold', 'DunnBC22/bert-base-uncased-Abusive_Or_Threatening_Speech', 'muhtasham/bert-tiny-finetuned-finer-longer', 'DunnBC22/bert-base-uncased-Winowhy']"
74,Yntec/RadiantCinemagic,"[0.88888889 0.5        0.30769231 0.16666667 0.23076923 0.36363636
 0.33333333 0.         0.125     ]","['Yntec/RadiantVibes', 'losti/iCoMix', 'Yntec/OpenNijiRemix', 'Carzit/Chtholly-lora', 'chillpixel/blacklight-makeup-sdxl-lora', 'Yntec/samaritan3dCartoon2MVAE', 'artificialguybr/CuteCartoonRedmond', 'treksis/WebtoonResearch', 'EarthnDusk/Kilkenny-Mix-CelShade']"
75,Salesforce/codet5p-2b,[1.  1.  1.  1.  1.  1.  1.  0.5 1. ],"['Salesforce/codet5p-6b', 'Salesforce/codet5p-16b', 'Salesforce/codet5p-220m', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-110m-embedding']"
76,Sygil/Sygil-Diffusion,"[0.5        0.         0.33333333 0.33333333 0.5        0.
 0.4        0.         0.        ]","['Sygil/Sygil-Muse', 'sd-dreambooth-library/solo-levelling-art-style', 'Mitsua/mitsua-diffusion-cc0', 'Guizmus/SD_DreamerCommunities_Collection', 'valhalla/sd-wikiart-v2', 'Falah/stable_diffusion_prompts_gen', 'Guizmus/MosaicArt', 'bennyguo/zero123-diffusers', 'gjpetch/zbrush_style']"
77,timm/tf_efficientnet_b1.ns_jft_in1k,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['timm/tf_efficientnet_b3.ns_jft_in1k', 'timm/tf_efficientnet_b4.ns_jft_in1k', 'timm/tf_efficientnet_b0.ns_jft_in1k', 'timm/tf_efficientnet_b2.ns_jft_in1k', 'timm/tf_efficientnet_b7.ns_jft_in1k', 'timm/tf_efficientnet_b5.ns_jft_in1k', 'timm/tf_efficientnet_l2.ns_jft_in1k', 'timm/tf_efficientnet_b6.ns_jft_in1k', 'timm/vit_base_r50_s16_384.orig_in21k_ft_in1k']"
78,philschmid/pyannote-speaker-diarization-endpoint,"[0.89473684 0.89473684 0.89473684 0.89473684 0.35294118 0.53846154
 0.61538462 0.25       0.77777778]","['anilbs/pipeline', 'KIFF/pyannote-speaker-diarization-endpoint', 'paris-iea/speaker-diarization', 'pyannote/speaker-diarization', 'pyannote/brouhaha', 'pyannote/embedding', 'pyannote/segmentation', 'funasr/FSMN-VAD', 'pyannote/speaker-segmentation']"
79,google/owlvit-base-patch16,"[0.75       0.75       0.33333333 0.33333333 0.         0.5
 0.5        0.33333333 0.5       ]","['google/owlvit-base-patch32', 'google/owlvit-large-patch14', 'mattmdjaga/clip-vit-base-patch32_handler', 'openai/clip-vit-large-patch14', 'AkshatSurolia/ViT-FaceMask-Finetuned', 'google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'SaulLu/clip-vit-base-patch32', 'google/vit-base-patch32-224-in21k']"
80,anas-awadalla/mpt-1b-redpajama-200b,"[0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667]","['mosaicml/mpt-1b-redpajama-200b-dolly', 'seantyh/mpt-1b-rp200b-dolly', 'mosaicml/mpt-7b-8k', 'Technotech/RedPajama-Base-3B-4bit-128g', 'mosaicml/mpt-7b', 'flashvenom/mpt-7b-base-lora-fix', 'eluzhnica/mpt-7b-8k-peft-compatible', 'mosaicml/mpt-30b', 'DanielTTY/mpt-30b-qlora']"
81,UFNLP/gatortron-base,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['UFNLP/gatortronS', '9pinus/macbert-base-chinese-medicine-recognition', 'AshtonIsNotHere/GatorTron-OG-bc-ctr-nli', 'CLTL/MedRoBERTa.nl', 'nlpie/clinical-distilbert-i2b2-2010', 'nlpie/clinical-mobilebert-i2b2-2010', 'emilyalsentzer/Bio_ClinicalBERT', 'noharm-ai/anony', 'shainaraza/clinical-bias-ner']"
82,allenai/scibert_scivocab_uncased,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['lordtt13/COVID-SciBERT', 'fran-martinez/scibert_scivocab_cased_ner_jnlpba', 'kauffinger/scibert_scivocab_uncased-mnli', 'globuslabs/ScholarBERT_10_WB', 'globuslabs/ScholarBERT_100_WB', 'malteos/PubMedNCL', 'batterydata/batteryscibert-uncased', 'globuslabs/ScholarBERT', 'globuslabs/ScholarBERT_10']"
83,jackaduma/SecBERT,[1.   0.5  0.   0.5  0.2  0.   0.25 0.25 0.25],"['jackaduma/SecRoBERTa', 'ehsanaghaei/SecureBERT_Plus', 'allenai/scibert_scivocab_uncased', 'ehsanaghaei/SecureBERT', 'markusbayer/CySecBERT', 'NanditaP/PrivSec-Classifier', 'nlpaueb/sec-bert-shape', 'nlpaueb/sec-bert-base', 'nlpaueb/sec-bert-num']"
84,stabilityai/japanese-stablelm-instruct-alpha-7b,[0.5 0.  0.  0.  0.  0.  0.  0.  0. ],"['stabilityai/japanese-instructblip-alpha', 'gmonsoon/notwaifu-diffusion-xl', 'YYuX/Arknights_Muelsyse_ZH-JA_VITS', 'anonymousTheStackRepo/trained_checkpoints', 'Jemnite/ShuimohuaAnime', 'gmonsoon/waifujourney-xl', 'housearch/Lora', 'Hosioka/Baka-DiffusionOLD', 'Hosioka/AniReal']"
85,Salesforce/codet5-base,[0.5 1.  1.  1.  1.  1.  1.  1.  1. ],"['gangqinxiao13/fine-tuned-codet5', 'Salesforce/codet5-large-ntp-py', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-2b', 'Salesforce/codet5p-6b']"
86,cointegrated/rubert-tiny,"[0.9        0.16666667 0.5        0.5        0.5        0.5
 0.2        0.8        0.5       ]","['cointegrated/rubert-tiny2', 'sunny3/rubert-conversational-sentiment-balanced', 'kazzand/ru-longformer-tiny-16384', 'DeepPavlov/rubert-base-cased-sentence', 'DeepPavlov/rubert-base-cased', 'cointegrated/rut5-small', 'seara/rubert-tiny2-russian-sentiment', 'cointegrated/LaBSE-en-ru', 'kazzand/ru-longformer-base-4096']"
87,siebert/sentiment-roberta-large-english,"[0.16666667 0.16666667 0.25       0.33333333 0.2        0.5
 0.33333333 0.6        0.25      ]","['Intel/distilbert-base-uncased-finetuned-sst-2-english-int8-static', 'hipnologo/gpt2-imdb-finetune', 'selimsametoglu/selims', 'eevvgg/sentimenTw-political', 'HasinMDG/XT-Sentiment-XLM-Roberta-Large', 'oliverguhr/german-sentiment-bert', 'mayapapaya/Sentiment-Analyzer', 'j-hartmann/sentiment-roberta-large-english-3-classes', 'w11wo/indonesian-roberta-base-indolem-sentiment-classifier-fold-0']"
88,EleutherAI/pythia-12b,"[0.83333333 1.         0.66666667 0.66666667 0.83333333 0.25
 0.5        0.5        0.5       ]","['EleutherAI/pythia-70m-deduped', 'EleutherAI/pythia-6.9b', 'exa1128/pythia-1000step', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'michaelfeil/ct2fast-pythia-12b', 'michaelfeil/ct2fast-pythia-160m', 'michaelfeil/ct2fast-pythia-6.9b']"
89,microsoft/xtremedistil-l6-h256-uncased,"[0.66666667 0.66666667 0.66666667 0.66666667 0.33333333 0.
 0.         0.         0.        ]","['microsoft/xtremedistil-l6-h384-uncased', 'microsoft/xtremedistil-l12-h384-uncased', 'microsoft/Multilingual-MiniLM-L12-H384', 'microsoft/MiniLM-L12-H384-uncased', 'ncsu-dk-lab/AutoDisProxyT', 'DylanJHJ/gtr-t5-base', 'crumb/distilpythia-cl', 'nlpie/bio-miniALBERT-128', 'cyrildever/xlm-roberta-base-finetuned-panx-it']"
90,KRAFTON/KORani-v3-13B,"[0.8        0.33333333 0.33333333 0.33333333 0.4        0.4
 0.33333333 0.33333333 0.25      ]","['KRAFTON/KORani-v1-13B', 'kyujinpy/KO-Platypus2-13B', 'davidkim205/komt-Llama-2-13b-hf', 'beomi/llama-2-ko-70b', 'beomi/kollama-33b', 'beomi/kollama-13b', 'beomi/llama-2-ko-7b', 'skt/ko-gpt-trinity-1.2B-v0.5', 'EleutherAI/polyglot-ko-3.8b']"
91,EleutherAI/polyglot-ko-5.8b,"[1.         1.         1.         0.33333333 0.25       0.25
 0.         0.25       0.        ]","['EleutherAI/polyglot-ko-1.3b', 'EleutherAI/polyglot-ko-3.8b', 'EleutherAI/polyglot-ko-12.8b', 'skt/ko-gpt-trinity-1.2B-v0.5', 'KRAFTON/KORani-v1-13B', 'KRAFTON/KORani-v3-13B', 'kakaobrain/kogpt', 'sxxyxn/kogpt_reduced_vocab', 'klue/bert-base']"
92,tiiuae/falcon-40b-instruct,"[0.66666667 1.         1.         0.33333333 0.5        0.66666667
 0.66666667 1.         0.66666667]","['ichitaka/falcon-40b-instruct-8bit', 'tiiuae/falcon-40b', 'tiiuae/falcon-7b-instruct', 'abhinavkulkarni/tiiuae-falcon-40b-instruct-w4-g128-awq', 'blackmount8/falcon-7b-instruct-ct2-int8_float16', 'rishiraj/geraki', 'dmunteanu-rws/falcon-40b', 'tiiuae/falcon-7b', 'TitanML/ct2-int8-falcon-7b']"
93,lllyasviel/control_v11e_sd15_ip2p,"[0.85714286 0.75       0.85714286 0.71428571 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286]","['lllyasviel/control_v11p_sd15_lineart', 'ControlNet-1-1-preview/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_inpaint', 'OrderAndChaos/controlnet-inpaint-endpoint', 'lllyasviel/control_v11p_sd15_openpose', 'lllyasviel/control_v11p_sd15_seg', 'lllyasviel/control_v11p_sd15_mlsd', 'lllyasviel/control_v11f1p_sd15_depth', 'lllyasviel/control_v11p_sd15_scribble']"
94,Hate-speech-CNERG/bert-base-uncased-hatexplain,"[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
 1.         0.33333333 0.33333333]","['KoalaAI/HateSpeechDetector', 'Sakil/distilbert_lazylearner_hatespeech_detection', 'uhhlt/bert-based-uncased-hatespeech-movies', 'risingodegua/hate-speech-detector', 'KoalaAI/OffensiveSpeechDetector', 'ctoraman/hate-speech-bert', 'Hate-speech-CNERG/dehatebert-mono-english', 'MilaNLProc/hate-ita', 'ctoraman/hate-speech-berturk']"
95,d4data/bias-detection-model,"[0.33333333 0.         0.33333333 0.33333333 0.5        0.
 0.         0.33333333 0.        ]","['d4data/en_pipeline', 'newsmediabias/UnBIAS-Named-entity', 'AyoubChLin/distilbert_cnn_news', 'AyoubChLin/bert_cnn_news', 'newsmediabias/UnBIAS-classifier', 'Datadave09/DA-RoBERTa', 'AndyReas/roberta-news', 'lighteternal/fact-or-opinion-xlmr-el', 'AndyReas/GenNewsGPT']"
96,intfloat/multilingual-e5-large,"[0.8        0.33333333 0.33333333 0.83333333 0.33333333 0.
 0.         0.         0.5       ]","['intfloat/e5-large-unsupervised', 'fresha/e5-large-v2-endpoint', 'ggrn/e5-small-v2', 'intfloat/e5-small', 'gruber/e5-small-v2-ggml', 'cross-encoder/ms-marco-MiniLM-L-12-v2', 'OpenMatch/co-condenser-large-msmarco', 'RubenAMtz/mmarco-mMiniLMv2-L12-H384-v1', 'intfloat/simlm-base-msmarco-finetuned']"
97,cerebras/Cerebras-GPT-256M,[1.  1.  1.  1.  1.  1.  0.8 0.  0.5],"['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'bjoernp/alpaca-cerebras-6.7B', 'SebastianSchramm/Cerebras-GPT-111M-instruction']"
98,climatebert/distilroberta-base-climate-sentiment,"[0.66666667 0.66666667 1.         0.66666667 0.66666667 1.
 0.33333333 0.66666667 0.33333333]","['climatebert/distilroberta-base-climate-specificity', 'climatebert/distilroberta-base-climate-detector', 'climatebert/transition-physical', 'climatebert/distilroberta-base-climate-commitment', 'climatebert/distilroberta-base-climate-tcfd', 'climatebert/renewable', 'climatebert/distilroberta-base-climate-d-s', 'climatebert/environmental-claims', 'climatebert/distilroberta-base-climate-f']"
99,deepset/electra-base-squad2,"[0.66666667 1.         0.66666667 0.66666667 1.         0.33333333
 1.         0.33333333 1.        ]","['bhadresh-savani/electra-base-squad2', 'deepset/bert-base-uncased-squad2', 'optimum/roberta-base-squad2', 'ydshieh/roberta-base-squad2', 'deepset/minilm-uncased-squad2', 'deepset/gelectra-large', 'deepset/roberta-base-squad2-covid', 'deepset/gelectra-large-generator', 'deepset/xlm-roberta-large-squad2']"
